video,frame_t,dt,class_id,area_t,remain_ratio,type
127_-hIVCYO4C90,34,5,13,757,0.1295,shrink
127_-hIVCYO4C90,35,5,13,696,0.0000,vanish
127_-hIVCYO4C90,45,5,90,303,0.2178,shrink
127_-hIVCYO4C90,46,5,61,2858,0.2271,shrink
127_-hIVCYO4C90,48,5,61,2018,0.0942,vanish
127_-hIVCYO4C90,49,5,60,1141,0.0649,vanish
127_-hIVCYO4C90,49,5,61,1289,0.0372,vanish
127_-hIVCYO4C90,50,4,60,982,0.0754,vanish
127_-hIVCYO4C90,50,5,61,1046,0.0000,vanish
127_-hIVCYO4C90,51,5,60,600,0.0017,vanish
127_-hIVCYO4C90,51,4,61,558,0.0000,vanish
127_-hIVCYO4C90,52,5,60,539,0.0000,vanish
127_-hIVCYO4C90,52,3,61,566,0.0000,vanish
127_-hIVCYO4C90,53,4,60,453,0.0000,vanish
127_-hIVCYO4C90,59,5,12,2480,0.1206,shrink
127_-hIVCYO4C90,59,4,14,350,0.0629,vanish
127_-hIVCYO4C90,60,5,12,2347,0.0507,vanish
127_-hIVCYO4C90,60,3,14,687,0.0451,vanish
127_-hIVCYO4C90,61,5,12,1952,0.0000,vanish
127_-hIVCYO4C90,61,1,90,413,0.0000,vanish
127_-hIVCYO4C90,62,4,12,1645,0.0000,vanish
127_-hIVCYO4C90,63,3,12,952,0.0000,vanish
127_-hIVCYO4C90,66,5,4,2298,0.0000,vanish
127_-hIVCYO4C90,66,5,13,1572,0.0668,vanish
127_-hIVCYO4C90,67,4,4,2006,0.0000,vanish
127_-hIVCYO4C90,67,5,13,1438,0.0000,vanish
127_-hIVCYO4C90,68,3,4,1984,0.0000,vanish
127_-hIVCYO4C90,68,4,13,1251,0.0000,vanish
127_-hIVCYO4C90,69,2,4,1993,0.0000,vanish
127_-hIVCYO4C90,69,3,13,1008,0.0000,vanish
127_-hIVCYO4C90,70,1,4,1955,0.0000,vanish
127_-hIVCYO4C90,70,2,13,717,0.0000,vanish
127_-hIVCYO4C90,75,3,14,374,0.0000,vanish
127_-hIVCYO4C90,78,4,1,489,0.0000,vanish
127_-hIVCYO4C90,80,5,4,691,0.2344,shrink
127_-hIVCYO4C90,81,5,1,3164,0.2462,shrink
127_-hIVCYO4C90,81,5,4,641,0.1591,shrink
127_-hIVCYO4C90,82,5,1,2855,0.0445,vanish
127_-hIVCYO4C90,82,5,4,617,0.0308,vanish
127_-hIVCYO4C90,83,5,1,2423,0.0000,vanish
127_-hIVCYO4C90,83,5,4,438,0.0000,vanish
127_-hIVCYO4C90,84,4,1,1884,0.0000,vanish
127_-hIVCYO4C90,85,3,1,1356,0.0000,vanish
127_-hIVCYO4C90,86,2,1,779,0.0000,vanish
127_-hIVCYO4C90,90,5,13,442,0.0045,vanish
127_-hIVCYO4C90,91,5,13,419,0.0000,vanish
127_-hIVCYO4C90,92,4,13,423,0.0000,vanish
127_-hIVCYO4C90,93,3,13,395,0.0000,vanish
127_-hIVCYO4C90,94,5,1,1367,0.1968,shrink
127_-hIVCYO4C90,95,5,1,1168,0.0000,vanish
127_-hIVCYO4C90,96,4,1,1003,0.0000,vanish
127_-hIVCYO4C90,97,3,1,799,0.0000,vanish
127_-hIVCYO4C90,98,2,1,660,0.0000,vanish
127_-hIVCYO4C90,105,5,90,404,0.0421,vanish
127_-hIVCYO4C90,106,5,90,319,0.0000,vanish
127_-hIVCYO4C90,110,5,9,1819,0.1215,shrink
127_-hIVCYO4C90,111,5,9,1569,0.0561,vanish
127_-hIVCYO4C90,112,5,9,1303,0.0000,vanish
127_-hIVCYO4C90,113,4,9,1014,0.0000,vanish
127_-hIVCYO4C90,114,3,9,630,0.0000,vanish
1643_T9npC-YHzuE,0,4,1,3139,0.0000,vanish
1643_T9npC-YHzuE,0,4,15,107774,0.0763,vanish
1643_T9npC-YHzuE,0,2,15,1132,0.0000,vanish
1643_T9npC-YHzuE,0,1,29,2106,0.0000,vanish
1643_T9npC-YHzuE,0,5,61,117879,0.0384,vanish
1643_T9npC-YHzuE,1,5,8,154367,0.2250,shrink
1643_T9npC-YHzuE,1,4,15,106214,0.0671,vanish
1643_T9npC-YHzuE,1,3,15,3303,0.0000,vanish
1643_T9npC-YHzuE,1,1,29,1280,0.0000,vanish
1643_T9npC-YHzuE,1,5,61,115822,0.0084,vanish
1643_T9npC-YHzuE,1,2,91,160003,0.1724,shrink
1643_T9npC-YHzuE,1,3,91,1341,0.0000,vanish
1643_T9npC-YHzuE,2,5,8,167494,0.2147,shrink
1643_T9npC-YHzuE,2,4,15,100474,0.0758,vanish
1643_T9npC-YHzuE,2,1,15,1416,0.0000,vanish
1643_T9npC-YHzuE,2,5,61,103589,0.0012,vanish
1643_T9npC-YHzuE,2,2,91,149804,0.1553,shrink
1643_T9npC-YHzuE,3,5,8,125765,0.2352,shrink
1643_T9npC-YHzuE,3,5,15,100356,0.0822,vanish
1643_T9npC-YHzuE,3,1,15,997,0.0000,vanish
1643_T9npC-YHzuE,3,1,61,1810,0.0000,vanish
1643_T9npC-YHzuE,3,5,61,97401,0.0966,vanish
1643_T9npC-YHzuE,3,5,91,59442,0.1261,shrink
1643_T9npC-YHzuE,3,2,91,12282,0.0418,vanish
1643_T9npC-YHzuE,4,2,1,6517,0.0000,vanish
1643_T9npC-YHzuE,4,1,1,2376,0.0000,vanish
1643_T9npC-YHzuE,4,5,4,10870,0.0000,vanish
1643_T9npC-YHzuE,4,5,8,89113,0.2166,shrink
1643_T9npC-YHzuE,4,5,15,101672,0.1776,shrink
1643_T9npC-YHzuE,4,2,15,8783,0.0000,vanish
1643_T9npC-YHzuE,4,2,15,314,0.0000,vanish
1643_T9npC-YHzuE,4,5,61,94272,0.2380,shrink
1643_T9npC-YHzuE,4,2,61,42506,0.1484,shrink
1643_T9npC-YHzuE,4,3,61,5095,0.0000,vanish
1643_T9npC-YHzuE,4,3,91,63900,0.1742,shrink
1643_T9npC-YHzuE,4,1,91,1495,0.0000,vanish
1643_T9npC-YHzuE,5,1,1,2783,0.0000,vanish
1643_T9npC-YHzuE,5,5,8,65967,0.1519,shrink
1643_T9npC-YHzuE,5,5,15,23912,0.0148,vanish
1643_T9npC-YHzuE,5,3,61,4214,0.0000,vanish
1643_T9npC-YHzuE,5,5,61,15806,0.0083,vanish
1643_T9npC-YHzuE,5,2,61,13844,0.0000,vanish
1643_T9npC-YHzuE,5,5,91,104587,0.1992,shrink
1643_T9npC-YHzuE,6,5,8,50067,0.1265,shrink
1643_T9npC-YHzuE,6,5,15,22720,0.0523,vanish
1643_T9npC-YHzuE,6,1,28,621,0.0000,vanish
1643_T9npC-YHzuE,6,4,61,18744,0.0000,vanish
1643_T9npC-YHzuE,6,5,61,15607,0.1141,shrink
1643_T9npC-YHzuE,6,1,61,2833,0.0000,vanish
1643_T9npC-YHzuE,7,5,8,36168,0.0555,vanish
1643_T9npC-YHzuE,7,5,15,21460,0.1301,shrink
1643_T9npC-YHzuE,8,4,8,29741,0.0687,vanish
1643_T9npC-YHzuE,8,5,15,21390,0.2134,shrink
1643_T9npC-YHzuE,9,5,8,19964,0.0766,vanish
1643_T9npC-YHzuE,9,1,15,1091,0.0000,vanish
1643_T9npC-YHzuE,10,5,8,11207,0.0000,vanish
1643_T9npC-YHzuE,11,4,8,7049,0.0000,vanish
1643_T9npC-YHzuE,11,1,8,388,0.0000,vanish
1643_T9npC-YHzuE,11,5,15,25911,0.1767,shrink
1643_T9npC-YHzuE,11,1,15,2039,0.2124,shrink
1643_T9npC-YHzuE,12,3,8,3227,0.0000,vanish
1643_T9npC-YHzuE,12,5,15,32732,0.1408,shrink
1643_T9npC-YHzuE,12,1,28,1221,0.0000,vanish
1643_T9npC-YHzuE,13,2,8,4840,0.0000,vanish
1643_T9npC-YHzuE,13,5,15,38090,0.1254,shrink
1643_T9npC-YHzuE,13,5,15,5553,0.1441,shrink
1643_T9npC-YHzuE,14,1,8,4254,0.0000,vanish
1643_T9npC-YHzuE,14,5,15,44199,0.2085,shrink
1643_T9npC-YHzuE,14,5,15,9199,0.1545,shrink
1643_T9npC-YHzuE,17,1,29,371,0.0000,vanish
1643_T9npC-YHzuE,18,5,0,11239,0.2474,shrink
1643_T9npC-YHzuE,18,5,29,5854,0.1689,shrink
1643_T9npC-YHzuE,19,5,0,11535,0.0570,vanish
1643_T9npC-YHzuE,19,5,15,14204,0.2079,shrink
1643_T9npC-YHzuE,19,1,28,313,0.0000,vanish
1643_T9npC-YHzuE,19,5,29,4963,0.0000,vanish
1643_T9npC-YHzuE,20,5,0,8200,0.0000,vanish
1643_T9npC-YHzuE,20,5,15,15203,0.1366,shrink
1643_T9npC-YHzuE,20,5,29,5294,0.0000,vanish
1643_T9npC-YHzuE,20,3,29,584,0.0000,vanish
1643_T9npC-YHzuE,21,4,0,5414,0.0000,vanish
1643_T9npC-YHzuE,21,5,15,15771,0.0241,vanish
1643_T9npC-YHzuE,21,5,29,5627,0.0000,vanish
1643_T9npC-YHzuE,22,3,0,4083,0.0000,vanish
1643_T9npC-YHzuE,22,5,1,16048,0.0772,vanish
1643_T9npC-YHzuE,22,5,15,16243,0.0238,vanish
1643_T9npC-YHzuE,22,4,29,5586,0.0000,vanish
1643_T9npC-YHzuE,23,2,0,2781,0.0000,vanish
1643_T9npC-YHzuE,23,5,1,14898,0.0000,vanish
1643_T9npC-YHzuE,23,5,15,16596,0.0109,vanish
1643_T9npC-YHzuE,23,2,15,387,0.0000,vanish
1643_T9npC-YHzuE,23,3,29,4978,0.0000,vanish
1643_T9npC-YHzuE,23,5,61,26628,0.2189,shrink
1643_T9npC-YHzuE,23,5,81,22784,0.0350,vanish
1643_T9npC-YHzuE,24,1,0,657,0.0000,vanish
1643_T9npC-YHzuE,24,4,1,12537,0.0000,vanish
1643_T9npC-YHzuE,24,5,8,40987,0.2025,shrink
1643_T9npC-YHzuE,24,5,15,16607,0.0000,vanish
1643_T9npC-YHzuE,24,3,29,4431,0.0000,vanish
1643_T9npC-YHzuE,24,5,61,27123,0.1930,shrink
1643_T9npC-YHzuE,24,5,81,27720,0.0000,vanish
1643_T9npC-YHzuE,25,3,1,9497,0.0000,vanish
1643_T9npC-YHzuE,25,5,8,36532,0.0302,vanish
1643_T9npC-YHzuE,25,4,15,12965,0.0000,vanish
1643_T9npC-YHzuE,25,3,29,4012,0.0000,vanish
1643_T9npC-YHzuE,25,5,61,27169,0.1738,shrink
1643_T9npC-YHzuE,25,5,81,33773,0.0000,vanish
1643_T9npC-YHzuE,26,2,1,5579,0.0000,vanish
1643_T9npC-YHzuE,26,4,8,31943,0.0136,vanish
1643_T9npC-YHzuE,26,3,15,7139,0.0000,vanish
1643_T9npC-YHzuE,26,5,28,52119,0.2033,shrink
1643_T9npC-YHzuE,26,2,29,4214,0.0078,vanish
1643_T9npC-YHzuE,26,5,61,27144,0.1606,shrink
1643_T9npC-YHzuE,26,5,81,37503,0.0000,vanish
1643_T9npC-YHzuE,27,1,1,1238,0.0000,vanish
1643_T9npC-YHzuE,27,3,8,27993,0.0000,vanish
1643_T9npC-YHzuE,27,2,15,1258,0.0000,vanish
1643_T9npC-YHzuE,27,5,28,43261,0.0843,vanish
1643_T9npC-YHzuE,27,2,29,4155,0.0000,vanish
1643_T9npC-YHzuE,27,5,61,26945,0.1604,shrink
1643_T9npC-YHzuE,28,2,8,18040,0.0000,vanish
1643_T9npC-YHzuE,28,5,28,32972,0.0472,vanish
1643_T9npC-YHzuE,28,2,29,4483,0.0000,vanish
1643_T9npC-YHzuE,28,5,61,26749,0.1926,shrink
1643_T9npC-YHzuE,28,2,91,1793,0.0017,vanish
1643_T9npC-YHzuE,29,1,8,8206,0.0000,vanish
1643_T9npC-YHzuE,29,5,28,24488,0.0503,vanish
1643_T9npC-YHzuE,29,3,29,5127,0.0004,vanish
1643_T9npC-YHzuE,29,2,29,887,0.0000,vanish
1643_T9npC-YHzuE,29,5,61,21386,0.2039,shrink
1643_T9npC-YHzuE,29,1,91,770,0.0000,vanish
1643_T9npC-YHzuE,30,5,28,18999,0.0429,vanish
1643_T9npC-YHzuE,30,3,29,5798,0.0000,vanish
1643_T9npC-YHzuE,30,2,29,1461,0.0000,vanish
1643_T9npC-YHzuE,30,5,61,17310,0.1713,shrink
1643_T9npC-YHzuE,31,1,15,585,0.0000,vanish
1643_T9npC-YHzuE,31,4,28,10594,0.0770,vanish
1643_T9npC-YHzuE,31,4,29,5775,0.1960,shrink
1643_T9npC-YHzuE,31,2,29,1274,0.0000,vanish
1643_T9npC-YHzuE,31,4,61,11741,0.1994,shrink
1643_T9npC-YHzuE,32,3,28,3358,0.2430,shrink
1643_T9npC-YHzuE,32,3,29,1072,0.0093,vanish
1643_T9npC-YHzuE,32,3,91,1085,0.1161,shrink
1643_T9npC-YHzuE,33,5,29,1345,0.1963,shrink
1643_T9npC-YHzuE,34,5,1,1991,0.0000,vanish
1643_T9npC-YHzuE,34,5,28,1232,0.2159,shrink
1643_T9npC-YHzuE,34,5,29,1366,0.0000,vanish
1643_T9npC-YHzuE,34,5,61,2344,0.2112,shrink
1643_T9npC-YHzuE,35,4,1,2300,0.0000,vanish
1643_T9npC-YHzuE,35,5,28,816,0.0392,vanish
1643_T9npC-YHzuE,35,3,29,1321,0.0000,vanish
1643_T9npC-YHzuE,35,5,61,1975,0.0962,vanish
1643_T9npC-YHzuE,36,3,1,2143,0.0000,vanish
1643_T9npC-YHzuE,36,5,28,1362,0.1329,shrink
1643_T9npC-YHzuE,36,2,29,1385,0.0000,vanish
1643_T9npC-YHzuE,36,5,61,2448,0.0535,vanish
1643_T9npC-YHzuE,37,2,1,1434,0.0000,vanish
1643_T9npC-YHzuE,37,3,29,1624,0.0000,vanish
1643_T9npC-YHzuE,38,1,1,514,0.0000,vanish
1643_T9npC-YHzuE,38,3,29,1486,0.0000,vanish
1643_T9npC-YHzuE,38,5,61,15663,0.1843,shrink
1643_T9npC-YHzuE,39,5,4,23679,0.2377,shrink
1643_T9npC-YHzuE,39,2,15,607,0.0000,vanish
1643_T9npC-YHzuE,39,3,29,2076,0.0000,vanish
1643_T9npC-YHzuE,39,5,61,15810,0.0787,vanish
1643_T9npC-YHzuE,39,5,61,13585,0.0228,vanish
1643_T9npC-YHzuE,39,5,91,109486,0.2305,shrink
1643_T9npC-YHzuE,40,1,15,2170,0.0000,vanish
1643_T9npC-YHzuE,40,3,29,1895,0.0000,vanish
1643_T9npC-YHzuE,40,4,61,16564,0.1191,shrink
1643_T9npC-YHzuE,40,4,61,12023,0.0583,vanish
1643_T9npC-YHzuE,40,2,91,3362,0.0000,vanish
1643_T9npC-YHzuE,41,2,29,2294,0.0000,vanish
1643_T9npC-YHzuE,41,3,61,20285,0.2007,shrink
1643_T9npC-YHzuE,41,3,61,10904,0.1699,shrink
1643_T9npC-YHzuE,41,1,91,860,0.0000,vanish
1643_T9npC-YHzuE,42,1,29,2238,0.0000,vanish
112_0OB2IP1enjU,95,1,75,776,0.0000,vanish
112_0OB2IP1enjU,102,2,75,605,0.0000,vanish
112_0OB2IP1enjU,103,5,61,24212,0.0325,vanish
112_0OB2IP1enjU,104,5,61,26256,0.0532,vanish
112_0OB2IP1enjU,104,5,67,9026,0.2454,shrink
112_0OB2IP1enjU,105,5,61,28362,0.0611,vanish
112_0OB2IP1enjU,105,5,67,8178,0.1064,shrink
112_0OB2IP1enjU,106,5,67,6986,0.1274,shrink
112_0OB2IP1enjU,107,5,61,28743,0.1435,shrink
112_0OB2IP1enjU,107,4,67,5394,0.0538,vanish
112_0OB2IP1enjU,108,5,61,30635,0.2343,shrink
112_0OB2IP1enjU,108,4,67,4009,0.0222,vanish
112_0OB2IP1enjU,109,3,67,2313,0.0000,vanish
112_0OB2IP1enjU,110,5,49,9476,0.0000,vanish
112_0OB2IP1enjU,110,2,67,837,0.0000,vanish
112_0OB2IP1enjU,111,4,49,8191,0.0000,vanish
112_0OB2IP1enjU,112,3,49,6452,0.0000,vanish
112_0OB2IP1enjU,113,2,49,3969,0.0000,vanish
112_0OB2IP1enjU,114,1,49,1830,0.0000,vanish
231_-_w6ZFauJBI,0,4,7,411,0.0000,vanish
231_-_w6ZFauJBI,0,4,7,454,0.0000,vanish
231_-_w6ZFauJBI,0,5,7,1107,0.0090,vanish
231_-_w6ZFauJBI,0,2,7,410,0.0976,vanish
231_-_w6ZFauJBI,0,3,13,458,0.0000,vanish
231_-_w6ZFauJBI,1,5,7,871,0.0000,vanish
231_-_w6ZFauJBI,1,5,61,4645,0.0357,vanish
231_-_w6ZFauJBI,1,5,61,316,0.0000,vanish
231_-_w6ZFauJBI,2,4,7,828,0.0000,vanish
231_-_w6ZFauJBI,2,4,61,4592,0.0331,vanish
231_-_w6ZFauJBI,3,3,61,5181,0.0251,vanish
231_-_w6ZFauJBI,4,2,61,3771,0.0544,vanish
231_-_w6ZFauJBI,5,1,61,2858,0.0850,vanish
231_-_w6ZFauJBI,6,4,7,526,0.0000,vanish
231_-_w6ZFauJBI,7,5,7,2968,0.0815,vanish
231_-_w6ZFauJBI,7,4,61,2605,0.0000,vanish
231_-_w6ZFauJBI,8,5,7,2609,0.0000,vanish
231_-_w6ZFauJBI,8,5,13,2487,0.0736,vanish
231_-_w6ZFauJBI,8,3,61,3030,0.0000,vanish
231_-_w6ZFauJBI,9,4,7,2550,0.0000,vanish
231_-_w6ZFauJBI,9,5,13,2526,0.0000,vanish
231_-_w6ZFauJBI,10,3,7,2181,0.0000,vanish
231_-_w6ZFauJBI,10,5,13,4559,0.1277,shrink
231_-_w6ZFauJBI,10,4,13,2484,0.0000,vanish
231_-_w6ZFauJBI,11,2,7,3507,0.0000,vanish
231_-_w6ZFauJBI,11,5,13,4376,0.0000,vanish
231_-_w6ZFauJBI,11,3,13,2434,0.0000,vanish
231_-_w6ZFauJBI,11,2,75,20983,0.0000,vanish
231_-_w6ZFauJBI,12,4,13,3002,0.0000,vanish
231_-_w6ZFauJBI,12,2,13,1192,0.0000,vanish
231_-_w6ZFauJBI,12,1,75,10969,0.0000,vanish
231_-_w6ZFauJBI,13,4,1,4166,0.0000,vanish
231_-_w6ZFauJBI,13,2,1,4965,0.0195,vanish
231_-_w6ZFauJBI,13,5,13,8137,0.0193,vanish
231_-_w6ZFauJBI,13,3,13,1923,0.0000,vanish
231_-_w6ZFauJBI,14,3,1,3512,0.0000,vanish
231_-_w6ZFauJBI,14,1,1,716,0.0000,vanish
231_-_w6ZFauJBI,14,5,13,7660,0.0000,vanish
231_-_w6ZFauJBI,14,2,13,1601,0.0000,vanish
231_-_w6ZFauJBI,14,1,75,1278,0.0000,vanish
231_-_w6ZFauJBI,15,2,1,2880,0.0000,vanish
231_-_w6ZFauJBI,15,4,13,7227,0.0000,vanish
231_-_w6ZFauJBI,15,1,13,782,0.0000,vanish
231_-_w6ZFauJBI,16,1,1,429,0.0000,vanish
231_-_w6ZFauJBI,16,5,1,899,0.0990,vanish
231_-_w6ZFauJBI,16,4,1,324,0.0000,vanish
231_-_w6ZFauJBI,16,3,13,5382,0.0000,vanish
231_-_w6ZFauJBI,17,5,1,13735,0.2420,shrink
231_-_w6ZFauJBI,17,4,1,388,0.0000,vanish
231_-_w6ZFauJBI,17,2,13,3448,0.0000,vanish
231_-_w6ZFauJBI,18,5,1,448,0.0625,vanish
231_-_w6ZFauJBI,18,1,9,301,0.0000,vanish
231_-_w6ZFauJBI,18,3,9,1394,0.1370,shrink
231_-_w6ZFauJBI,18,5,13,407,0.1892,shrink
231_-_w6ZFauJBI,19,5,1,577,0.2288,shrink
231_-_w6ZFauJBI,21,2,1,1393,0.0000,vanish
231_-_w6ZFauJBI,21,5,75,10621,0.1411,shrink
231_-_w6ZFauJBI,22,3,1,2202,0.0000,vanish
231_-_w6ZFauJBI,22,5,1,3435,0.0041,vanish
231_-_w6ZFauJBI,22,3,75,6680,0.0000,vanish
231_-_w6ZFauJBI,23,4,1,4327,0.0000,vanish
231_-_w6ZFauJBI,24,4,1,1654,0.1348,shrink
231_-_w6ZFauJBI,24,5,1,4464,0.0000,vanish
231_-_w6ZFauJBI,25,4,1,3286,0.0000,vanish
231_-_w6ZFauJBI,25,5,75,3486,0.2487,shrink
231_-_w6ZFauJBI,26,3,1,2669,0.0000,vanish
231_-_w6ZFauJBI,26,5,61,124235,0.2335,shrink
231_-_w6ZFauJBI,28,2,75,3253,0.0000,vanish
231_-_w6ZFauJBI,29,4,1,525,0.0000,vanish
231_-_w6ZFauJBI,29,1,75,2011,0.0000,vanish
231_-_w6ZFauJBI,30,5,1,2921,0.0000,vanish
231_-_w6ZFauJBI,32,5,13,15870,0.2197,shrink
231_-_w6ZFauJBI,32,5,61,89489,0.1421,shrink
231_-_w6ZFauJBI,33,4,13,544,0.1507,shrink
231_-_w6ZFauJBI,33,5,61,89234,0.1979,shrink
231_-_w6ZFauJBI,34,5,1,2331,0.1420,shrink
231_-_w6ZFauJBI,34,5,13,520,0.0654,vanish
231_-_w6ZFauJBI,34,5,13,534,0.0000,vanish
231_-_w6ZFauJBI,34,5,61,87471,0.2442,shrink
231_-_w6ZFauJBI,35,5,1,2045,0.1355,shrink
231_-_w6ZFauJBI,35,4,13,554,0.0217,vanish
231_-_w6ZFauJBI,35,4,13,566,0.0000,vanish
231_-_w6ZFauJBI,35,5,61,83220,0.2318,shrink
231_-_w6ZFauJBI,36,5,1,1426,0.0947,vanish
231_-_w6ZFauJBI,36,5,13,306,0.1373,shrink
231_-_w6ZFauJBI,37,5,1,855,0.1345,shrink
231_-_w6ZFauJBI,38,5,1,771,0.0000,vanish
231_-_w6ZFauJBI,38,5,13,598,0.2007,shrink
231_-_w6ZFauJBI,39,4,1,331,0.0000,vanish
231_-_w6ZFauJBI,40,5,61,337,0.0356,vanish
231_-_w6ZFauJBI,43,5,13,584,0.2363,shrink
231_-_w6ZFauJBI,51,5,43,750,0.0000,vanish
231_-_w6ZFauJBI,52,4,43,1038,0.0000,vanish
231_-_w6ZFauJBI,53,5,13,368,0.1630,shrink
231_-_w6ZFauJBI,53,3,43,770,0.0000,vanish
231_-_w6ZFauJBI,54,2,43,783,0.0000,vanish
231_-_w6ZFauJBI,54,1,43,1253,0.0000,vanish
231_-_w6ZFauJBI,55,1,43,768,0.0000,vanish
231_-_w6ZFauJBI,66,2,13,599,0.0000,vanish
231_-_w6ZFauJBI,70,5,43,4781,0.0000,vanish
231_-_w6ZFauJBI,70,2,43,418,0.0096,vanish
231_-_w6ZFauJBI,71,5,13,21788,0.1963,shrink
231_-_w6ZFauJBI,71,4,43,4169,0.0000,vanish
231_-_w6ZFauJBI,72,3,43,3418,0.0000,vanish
231_-_w6ZFauJBI,73,3,1,389,0.0000,vanish
231_-_w6ZFauJBI,73,5,13,19516,0.2462,shrink
231_-_w6ZFauJBI,73,2,13,2542,0.0000,vanish
231_-_w6ZFauJBI,73,2,43,2441,0.0000,vanish
231_-_w6ZFauJBI,74,1,13,1200,0.0000,vanish
231_-_w6ZFauJBI,74,1,43,2374,0.0000,vanish
231_-_w6ZFauJBI,79,5,1,4461,0.0794,vanish
231_-_w6ZFauJBI,79,2,13,301,0.0000,vanish
231_-_w6ZFauJBI,79,1,43,536,0.0000,vanish
231_-_w6ZFauJBI,80,5,1,5305,0.0051,vanish
231_-_w6ZFauJBI,80,5,1,4107,0.1191,shrink
231_-_w6ZFauJBI,80,3,13,309,0.0000,vanish
231_-_w6ZFauJBI,81,4,1,4467,0.0096,vanish
231_-_w6ZFauJBI,81,5,1,4445,0.0448,vanish
231_-_w6ZFauJBI,82,3,1,3953,0.0458,vanish
231_-_w6ZFauJBI,82,5,1,5730,0.0414,vanish
231_-_w6ZFauJBI,82,3,13,360,0.0000,vanish
231_-_w6ZFauJBI,82,2,13,439,0.0000,vanish
231_-_w6ZFauJBI,83,2,1,4392,0.2113,shrink
231_-_w6ZFauJBI,83,5,1,6655,0.0012,vanish
231_-_w6ZFauJBI,83,4,13,498,0.0000,vanish
231_-_w6ZFauJBI,84,5,1,5924,0.1047,shrink
231_-_w6ZFauJBI,84,4,13,580,0.0000,vanish
231_-_w6ZFauJBI,84,4,13,915,0.0787,vanish
231_-_w6ZFauJBI,85,5,13,320,0.0000,vanish
231_-_w6ZFauJBI,85,4,13,732,0.2227,shrink
231_-_w6ZFauJBI,85,5,13,726,0.0000,vanish
231_-_w6ZFauJBI,86,5,9,6137,0.1136,shrink
231_-_w6ZFauJBI,86,3,13,796,0.1005,shrink
231_-_w6ZFauJBI,87,5,9,7140,0.0062,vanish
231_-_w6ZFauJBI,88,5,9,7104,0.0038,vanish
231_-_w6ZFauJBI,89,5,9,7140,0.0008,vanish
231_-_w6ZFauJBI,90,4,9,7278,0.0003,vanish
231_-_w6ZFauJBI,91,3,9,329,0.0000,vanish
231_-_w6ZFauJBI,132,3,13,339,0.0000,vanish
2097_HVti7xTm2ow,0,1,1,1554,0.0000,vanish
2097_HVti7xTm2ow,0,1,14,3964,0.0000,vanish
2097_HVti7xTm2ow,0,4,61,82443,0.0000,vanish
2097_HVti7xTm2ow,0,5,61,51881,0.2300,shrink
2097_HVti7xTm2ow,1,3,61,70458,0.0000,vanish
2097_HVti7xTm2ow,2,3,61,43419,0.0000,vanish
2097_HVti7xTm2ow,3,1,1,870,0.0529,vanish
2097_HVti7xTm2ow,3,2,61,10536,0.0000,vanish
2097_HVti7xTm2ow,3,1,61,2428,0.0000,vanish
